Hydrobia.ulvae	Corophium.arenarium	Abra.tenuis	Tubificidae	Enchytraeidae	Cerastodermaedule	Larve.de.Diptere	Apseudes.latreilli	Notomastus.latericeus	Scoloplos.armiger	Heteroclymene.robusta	Bathyporea.sarsi	Retusa.obtusata	Cereus.pedonculatus	Eteone.longa	Fabricia.sabella	Pygospio.elegans	Urothoe.poseidonis	Carcinus.maenas	Nepthys.umbergii	Pleuronectes.platesa	Arenicola.marina	Planaire	Telina.fabula	Cumopsis.sp	Leucothoe.incisa	Lucinoma.borealis	Orbinia.foetida	Nereis.diversicolor	Loripes.lucinalis	Venerupis.pullastra	Venus.ovata	Ampelisca.brevicornis	Sphaeroma.serratum	Dicentrachus.labrax	sitesafc	moisafc	
SA15	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	3
SA16	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SA	4
SB1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	1
SB2	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	2
SB3	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SB	3
SB4	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	4
SB5	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	SB	5
SB6	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	6
SB7	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	7
SB8	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	SB	8
SB9	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	SB	9
SB10	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SB	10
SB11	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	11
SB13	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	1
SB14	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SB	2
SB15	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	SB	3
SB16	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SB	4
SC1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	SC	1
SC2	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SC	2
SC3	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	SC	3
SC4	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SC	4
SC5	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	SC	5
SC6	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	SC	6
SC7	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	SC	7
SC8	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	SC	8
SC9	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	SC	9
SC10	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SC	10
SC11	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	SC	11
SC12	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SC	12
SC13	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SC	1
SC14	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	SC	2
SC15	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	SC	3
SC16	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	SC	4
